Loading vocab...
token_vocab: 4521, post_vocab: 160, pos_vocab: 46, dep_vocab: 42, pol_vocab: 3
cuda memory allocated: 7069696
n_trainable_params: 395673, n_nontrainable_params: 1356300
training arguments:
>>> model_name: gnn-transformer
>>> dataset: restaurant
>>> optimizer: <class 'torch.optim.adam.Adam'>
>>> initializer: <function xavier_uniform_ at 0x7f9352ac0d30>
>>> learning_rate: 0.001
>>> num_epoch: 50
>>> batch_size: 16
>>> log_step: 5
>>> embed_dim: 300
>>> post_dim: 60
>>> pos_dim: 30
>>> deprel_dim: 30
>>> hidden_dim: 60
>>> num_layers: 8
>>> polarities_dim: 3
>>> input_dropout: 0.7
>>> lower: True
>>> directed: False
>>> add_self_loop: True
>>> bidirect: True
>>> rnn_hidden: 60
>>> rnn_layers: 1
>>> rnn_dropout: 0.1
>>> max_length: 85
>>> device: cuda:0
>>> seed: 1000
>>> weight_decay: 0.0001
>>> vocab_dir: ./dataset/Restaurants_corenlp
>>> pad_id: 0
>>> graph_conv_type: gin
>>> graph_conv_attention_heads: 4
>>> graph_conv_attn_dropout: 0.0
>>> ffn_dropout: 0.4
>>> attention_heads: 4
>>> attn_dropout: 0.2
>>> norm: ln
>>> max_position: 9
>>> finetune_weight_decay: 0.01
>>> scheduler: linear
>>> warmup: 2
>>> cuda: 0
>>> pretrained_bert_name: bert-base-uncased
>>> adam_epsilon: 1e-08
>>> bert_dim: 768
>>> bert_dropout: 0.3
>>> bert_lr: 2e-05
>>> model_class: <class 'models.gnn_transformer.GNN_Transformer'>
>>> dataset_file: {'train': './dataset/Restaurants_corenlp/train.json', 'test': './dataset/Restaurants_corenlp/test.json'}
>>> inputs_cols: ['text', 'aspect', 'pos', 'head', 'deprel', 'post', 'mask', 'length', 'adj']
>>> post_size: 160
>>> pos_size: 46
>>> deprel_size: 42
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 0
>> saved: ./state_dict/gnn-transformer_restaurant_acc_0.6452_f1_0.2616
loss: 1.2840, acc: 0.6250, test_acc: 0.6452, f1: 0.2616
loss: 1.0998, acc: 0.3922, test_acc: 0.6497, f1: 0.2625
>> saved: ./state_dict/gnn-transformer_restaurant_acc_0.6515_f1_0.2730
loss: 1.1632, acc: 0.3958, test_acc: 0.6515, f1: 0.2730
loss: 1.2231, acc: 0.3972, test_acc: 0.5076, f1: 0.3957
loss: 1.0603, acc: 0.3926, test_acc: 0.3557, f1: 0.3299
loss: 1.1066, acc: 0.3939, test_acc: 0.6434, f1: 0.3477
loss: 1.2688, acc: 0.3897, test_acc: 0.6014, f1: 0.3434
loss: 1.1574, acc: 0.3875, test_acc: 0.4942, f1: 0.3967
loss: 1.0370, acc: 0.3906, test_acc: 0.5031, f1: 0.4104
loss: 1.0505, acc: 0.3936, test_acc: 0.6461, f1: 0.3370
loss: 1.0427, acc: 0.3964, test_acc: 0.6354, f1: 0.3468
loss: 1.1127, acc: 0.4006, test_acc: 0.6175, f1: 0.3668
loss: 1.2321, acc: 0.3969, test_acc: 0.6050, f1: 0.3698
loss: 0.9953, acc: 0.3948, test_acc: 0.3458, f1: 0.3471
loss: 1.2190, acc: 0.3929, test_acc: 0.1752, f1: 0.1024
loss: 1.3225, acc: 0.3881, test_acc: 0.1769, f1: 0.1093
loss: 1.1526, acc: 0.3849, test_acc: 0.2002, f1: 0.1881
loss: 1.2868, acc: 0.3819, test_acc: 0.5630, f1: 0.4607
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 1
loss: 1.0743, acc: 0.4375, test_acc: 0.5022, f1: 0.4170
loss: 1.2431, acc: 0.4062, test_acc: 0.3065, f1: 0.2793
loss: 0.9836, acc: 0.3958, test_acc: 0.5103, f1: 0.4340
loss: 0.9447, acc: 0.4375, test_acc: 0.4272, f1: 0.2968
loss: 1.1482, acc: 0.4375, test_acc: 0.2556, f1: 0.1830
loss: 1.1569, acc: 0.4271, test_acc: 0.3932, f1: 0.2890
>> saved: ./state_dict/gnn-transformer_restaurant_acc_0.6524_f1_0.3980
loss: 1.1413, acc: 0.4464, test_acc: 0.6524, f1: 0.3980
loss: 1.1204, acc: 0.4375, test_acc: 0.4147, f1: 0.3763
loss: 1.1747, acc: 0.4028, test_acc: 0.2806, f1: 0.2828
loss: 1.1560, acc: 0.3875, test_acc: 0.5389, f1: 0.4506
loss: 1.0511, acc: 0.3920, test_acc: 0.6291, f1: 0.4456
loss: 1.0502, acc: 0.3958, test_acc: 0.6291, f1: 0.4498
loss: 1.0520, acc: 0.3990, test_acc: 0.5907, f1: 0.4371
loss: 1.0183, acc: 0.4062, test_acc: 0.4084, f1: 0.3915
loss: 1.0164, acc: 0.4042, test_acc: 0.2592, f1: 0.2657
loss: 0.9908, acc: 0.3984, test_acc: 0.4450, f1: 0.3891
>> saved: ./state_dict/gnn-transformer_restaurant_acc_0.6533_f1_0.3532
loss: 1.2206, acc: 0.3897, test_acc: 0.6533, f1: 0.3532
loss: 1.1048, acc: 0.3889, test_acc: 0.6139, f1: 0.4565
loss: 1.0715, acc: 0.3882, test_acc: 0.2913, f1: 0.2975
loss: 1.0882, acc: 0.3906, test_acc: 0.2601, f1: 0.2639
loss: 1.1212, acc: 0.3899, test_acc: 0.2368, f1: 0.2369
loss: 1.0372, acc: 0.3920, test_acc: 0.2556, f1: 0.2572
>> saved: ./state_dict/gnn-transformer_restaurant_acc_0.6550_f1_0.4266
loss: 1.1187, acc: 0.4022, test_acc: 0.6550, f1: 0.4266
loss: 1.1273, acc: 0.4141, test_acc: 0.6470, f1: 0.4612
loss: 1.0054, acc: 0.4175, test_acc: 0.2779, f1: 0.2842
loss: 0.9263, acc: 0.4183, test_acc: 0.2207, f1: 0.2188
loss: 0.9902, acc: 0.4213, test_acc: 0.2332, f1: 0.2215
loss: 1.0587, acc: 0.4241, test_acc: 0.4718, f1: 0.4036
loss: 1.0827, acc: 0.4224, test_acc: 0.4727, f1: 0.4168
loss: 1.1020, acc: 0.4167, test_acc: 0.5103, f1: 0.4402
loss: 1.0593, acc: 0.4194, test_acc: 0.2699, f1: 0.2788
loss: 1.1740, acc: 0.4121, test_acc: 0.2127, f1: 0.2115
loss: 1.2479, acc: 0.4053, test_acc: 0.2672, f1: 0.2720
loss: 1.0334, acc: 0.4099, test_acc: 0.5139, f1: 0.3721
loss: 1.0117, acc: 0.4143, test_acc: 0.6408, f1: 0.3478
>> saved: ./state_dict/gnn-transformer_restaurant_acc_0.6577_f1_0.3303
loss: 1.0827, acc: 0.4236, test_acc: 0.6577, f1: 0.3303
loss: 1.1563, acc: 0.4223, test_acc: 0.5380, f1: 0.4221
loss: 1.1903, acc: 0.4161, test_acc: 0.2377, f1: 0.2283
loss: 1.0742, acc: 0.4087, test_acc: 0.2520, f1: 0.2496
loss: 1.2021, acc: 0.4078, test_acc: 0.5952, f1: 0.4144
loss: 1.1307, acc: 0.4101, test_acc: 0.6542, f1: 0.3551
>> saved: ./state_dict/gnn-transformer_restaurant_acc_0.6667_f1_0.3871
loss: 1.1649, acc: 0.4092, test_acc: 0.6667, f1: 0.3871
loss: 1.0303, acc: 0.4099, test_acc: 0.4647, f1: 0.4207
loss: 1.1645, acc: 0.4048, test_acc: 0.2601, f1: 0.2621
loss: 1.3313, acc: 0.4014, test_acc: 0.2270, f1: 0.2204
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 2
loss: 1.1118, acc: 0.4375, test_acc: 0.2895, f1: 0.2907
loss: 0.9379, acc: 0.5312, test_acc: 0.5773, f1: 0.4834
loss: 1.2255, acc: 0.4375, test_acc: 0.6309, f1: 0.4621
loss: 1.0575, acc: 0.4531, test_acc: 0.6354, f1: 0.4777
loss: 1.0607, acc: 0.4625, test_acc: 0.6247, f1: 0.4806
loss: 1.0830, acc: 0.5104, test_acc: 0.4164, f1: 0.4010
loss: 1.2036, acc: 0.4732, test_acc: 0.2618, f1: 0.2650
loss: 0.9990, acc: 0.4453, test_acc: 0.2654, f1: 0.2687
loss: 1.2666, acc: 0.4167, test_acc: 0.4540, f1: 0.4267
loss: 1.0553, acc: 0.4375, test_acc: 0.6336, f1: 0.4732
loss: 1.1332, acc: 0.4545, test_acc: 0.6631, f1: 0.4522
loss: 0.8985, acc: 0.4792, test_acc: 0.5755, f1: 0.4491
loss: 1.0763, acc: 0.4856, test_acc: 0.3485, f1: 0.3427
loss: 1.0679, acc: 0.4821, test_acc: 0.2547, f1: 0.2610
loss: 1.1376, acc: 0.4833, test_acc: 0.3727, f1: 0.3665
loss: 1.0120, acc: 0.4805, test_acc: 0.5424, f1: 0.4576
loss: 0.9402, acc: 0.4890, test_acc: 0.5746, f1: 0.4687
loss: 0.9770, acc: 0.4896, test_acc: 0.5541, f1: 0.4644
loss: 1.0293, acc: 0.4770, test_acc: 0.4683, f1: 0.4274
loss: 1.0329, acc: 0.4781, test_acc: 0.5326, f1: 0.4543
loss: 1.1179, acc: 0.4702, test_acc: 0.5764, f1: 0.4559
loss: 1.1343, acc: 0.4688, test_acc: 0.4996, f1: 0.4078
loss: 0.9497, acc: 0.4674, test_acc: 0.4227, f1: 0.3857
loss: 1.0182, acc: 0.4583, test_acc: 0.3709, f1: 0.3632
loss: 1.1349, acc: 0.4550, test_acc: 0.5398, f1: 0.4680
loss: 1.1193, acc: 0.4495, test_acc: 0.5505, f1: 0.4749
loss: 0.9911, acc: 0.4514, test_acc: 0.3387, f1: 0.3369
loss: 1.1390, acc: 0.4487, test_acc: 0.5442, f1: 0.4683
loss: 1.1580, acc: 0.4483, test_acc: 0.5103, f1: 0.4464
loss: 1.0368, acc: 0.4479, test_acc: 0.6309, f1: 0.4247
loss: 0.9849, acc: 0.4496, test_acc: 0.6050, f1: 0.4130
loss: 1.2188, acc: 0.4531, test_acc: 0.5898, f1: 0.4591
loss: 1.1647, acc: 0.4489, test_acc: 0.3235, f1: 0.3289
loss: 1.1102, acc: 0.4393, test_acc: 0.2922, f1: 0.3010
loss: 1.0048, acc: 0.4375, test_acc: 0.4129, f1: 0.3916
loss: 0.9326, acc: 0.4462, test_acc: 0.5818, f1: 0.4969
loss: 1.0279, acc: 0.4459, test_acc: 0.4352, f1: 0.3991
loss: 0.9317, acc: 0.4507, test_acc: 0.5684, f1: 0.4501
loss: 1.0772, acc: 0.4471, test_acc: 0.6095, f1: 0.4864
loss: 1.0587, acc: 0.4469, test_acc: 0.4209, f1: 0.4048
loss: 0.9605, acc: 0.4436, test_acc: 0.4504, f1: 0.4259
loss: 1.2600, acc: 0.4405, test_acc: 0.5621, f1: 0.4742
loss: 1.0748, acc: 0.4375, test_acc: 0.3995, f1: 0.3915
loss: 1.0373, acc: 0.4347, test_acc: 0.3432, f1: 0.3462
loss: 1.0856, acc: 0.4333, test_acc: 0.2994, f1: 0.3030
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 3
loss: 1.0014, acc: 0.5000, test_acc: 0.5702, f1: 0.4733
loss: 0.8496, acc: 0.5625, test_acc: 0.6515, f1: 0.4598
loss: 1.0026, acc: 0.5833, test_acc: 0.5934, f1: 0.4840
loss: 1.3026, acc: 0.5156, test_acc: 0.3003, f1: 0.3020
loss: 0.9761, acc: 0.4750, test_acc: 0.3056, f1: 0.3117
loss: 1.0922, acc: 0.4688, test_acc: 0.4227, f1: 0.4019
loss: 1.0936, acc: 0.4464, test_acc: 0.5031, f1: 0.4495
loss: 1.0297, acc: 0.4609, test_acc: 0.5496, f1: 0.4838
loss: 1.1651, acc: 0.4653, test_acc: 0.3467, f1: 0.3514
loss: 1.0428, acc: 0.4688, test_acc: 0.5174, f1: 0.4691
>> saved: ./state_dict/gnn-transformer_restaurant_acc_0.6693_f1_0.4527
loss: 1.2369, acc: 0.4716, test_acc: 0.6693, f1: 0.4527
>> saved: ./state_dict/gnn-transformer_restaurant_acc_0.6720_f1_0.4468
loss: 0.9753, acc: 0.4896, test_acc: 0.6720, f1: 0.4468
loss: 1.1156, acc: 0.4904, test_acc: 0.6193, f1: 0.5082
>> saved: ./state_dict/gnn-transformer_restaurant_acc_0.6801_f1_0.4713
loss: 1.3073, acc: 0.4821, test_acc: 0.6801, f1: 0.4713
loss: 1.0348, acc: 0.4750, test_acc: 0.6408, f1: 0.5100
loss: 0.9714, acc: 0.4805, test_acc: 0.3047, f1: 0.3093
loss: 1.0112, acc: 0.4669, test_acc: 0.3101, f1: 0.3176
loss: 1.0236, acc: 0.4722, test_acc: 0.6050, f1: 0.4939
>> saved: ./state_dict/gnn-transformer_restaurant_acc_0.6828_f1_0.4664
loss: 1.0261, acc: 0.4803, test_acc: 0.6828, f1: 0.4664
loss: 0.8820, acc: 0.4938, test_acc: 0.5612, f1: 0.4883
loss: 1.0680, acc: 0.4940, test_acc: 0.5880, f1: 0.4884
loss: 1.0281, acc: 0.4886, test_acc: 0.4978, f1: 0.4503
loss: 0.9529, acc: 0.4864, test_acc: 0.6095, f1: 0.5037
loss: 0.7782, acc: 0.4948, test_acc: 0.6604, f1: 0.3100
loss: 1.0416, acc: 0.5050, test_acc: 0.6720, f1: 0.4438
loss: 1.1737, acc: 0.4928, test_acc: 0.3762, f1: 0.3735
loss: 1.0050, acc: 0.4861, test_acc: 0.2645, f1: 0.2717
loss: 1.0076, acc: 0.4799, test_acc: 0.3155, f1: 0.3202
loss: 1.0692, acc: 0.4784, test_acc: 0.5416, f1: 0.4765
loss: 0.9261, acc: 0.4833, test_acc: 0.6041, f1: 0.5132
loss: 0.9915, acc: 0.4839, test_acc: 0.4978, f1: 0.4580
loss: 1.1682, acc: 0.4844, test_acc: 0.6577, f1: 0.5375
loss: 0.7956, acc: 0.4924, test_acc: 0.6756, f1: 0.4923
loss: 1.0790, acc: 0.4926, test_acc: 0.5094, f1: 0.4558
loss: 1.2363, acc: 0.4946, test_acc: 0.6711, f1: 0.5142
loss: 1.1494, acc: 0.4913, test_acc: 0.6693, f1: 0.4515
loss: 1.1206, acc: 0.4899, test_acc: 0.5925, f1: 0.4915
loss: 1.3876, acc: 0.4803, test_acc: 0.1993, f1: 0.1867
loss: 0.9971, acc: 0.4760, test_acc: 0.2788, f1: 0.2738
loss: 0.9377, acc: 0.4766, test_acc: 0.6533, f1: 0.4531
loss: 1.2142, acc: 0.4741, test_acc: 0.6595, f1: 0.3691
loss: 1.1037, acc: 0.4747, test_acc: 0.6452, f1: 0.4419
loss: 1.0476, acc: 0.4724, test_acc: 0.5594, f1: 0.4734
loss: 1.0975, acc: 0.4688, test_acc: 0.3432, f1: 0.3499
loss: 0.9062, acc: 0.4694, test_acc: 0.3199, f1: 0.3266
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 4
loss: 1.0412, acc: 0.3125, test_acc: 0.3843, f1: 0.3739
loss: 1.0053, acc: 0.4375, test_acc: 0.2994, f1: 0.3034
loss: 1.0173, acc: 0.4583, test_acc: 0.4057, f1: 0.3903
loss: 0.8761, acc: 0.4688, test_acc: 0.4763, f1: 0.4348
loss: 1.2361, acc: 0.4500, test_acc: 0.5603, f1: 0.4793
loss: 1.0018, acc: 0.4688, test_acc: 0.5335, f1: 0.4595
loss: 0.9374, acc: 0.4911, test_acc: 0.4960, f1: 0.4249
loss: 1.0693, acc: 0.4766, test_acc: 0.4459, f1: 0.3959
loss: 1.0262, acc: 0.4653, test_acc: 0.4710, f1: 0.4151
loss: 0.9558, acc: 0.4562, test_acc: 0.5255, f1: 0.4452
loss: 0.8945, acc: 0.4602, test_acc: 0.5845, f1: 0.4793
loss: 1.0757, acc: 0.4583, test_acc: 0.6372, f1: 0.4530
loss: 1.2020, acc: 0.4663, test_acc: 0.6327, f1: 0.4359
loss: 1.1477, acc: 0.4554, test_acc: 0.6345, f1: 0.4517
loss: 1.0486, acc: 0.4625, test_acc: 0.5934, f1: 0.4815
loss: 0.8751, acc: 0.4805, test_acc: 0.5398, f1: 0.4703
loss: 0.9398, acc: 0.4890, test_acc: 0.3762, f1: 0.3721
loss: 0.9895, acc: 0.4826, test_acc: 0.3155, f1: 0.3202
loss: 1.0804, acc: 0.4671, test_acc: 0.3110, f1: 0.3160
loss: 1.2616, acc: 0.4562, test_acc: 0.4638, f1: 0.4360
loss: 1.1185, acc: 0.4524, test_acc: 0.5210, f1: 0.4687
loss: 1.0997, acc: 0.4489, test_acc: 0.5139, f1: 0.4639
loss: 1.1182, acc: 0.4429, test_acc: 0.5389, f1: 0.4603
loss: 0.9808, acc: 0.4479, test_acc: 0.5800, f1: 0.4504
loss: 1.1584, acc: 0.4425, test_acc: 0.5612, f1: 0.4399
loss: 1.1394, acc: 0.4375, test_acc: 0.4861, f1: 0.4360
loss: 1.2817, acc: 0.4282, test_acc: 0.2887, f1: 0.2829
loss: 0.8191, acc: 0.4330, test_acc: 0.2958, f1: 0.2887
loss: 0.9282, acc: 0.4375, test_acc: 0.4388, f1: 0.3908
loss: 1.0373, acc: 0.4333, test_acc: 0.5076, f1: 0.4327
loss: 0.9236, acc: 0.4335, test_acc: 0.5013, f1: 0.4316
loss: 1.0593, acc: 0.4277, test_acc: 0.5675, f1: 0.4785
loss: 1.1435, acc: 0.4280, test_acc: 0.5916, f1: 0.4769
loss: 0.8924, acc: 0.4357, test_acc: 0.6381, f1: 0.4699
loss: 1.1076, acc: 0.4357, test_acc: 0.6372, f1: 0.4597
loss: 1.1050, acc: 0.4392, test_acc: 0.6282, f1: 0.4623
loss: 1.2316, acc: 0.4392, test_acc: 0.5666, f1: 0.4338
loss: 1.1167, acc: 0.4391, test_acc: 0.3986, f1: 0.3790
loss: 1.0216, acc: 0.4407, test_acc: 0.4522, f1: 0.4240
loss: 1.2262, acc: 0.4313, test_acc: 0.3360, f1: 0.3407
loss: 0.8535, acc: 0.4284, test_acc: 0.3995, f1: 0.3863
loss: 0.9920, acc: 0.4301, test_acc: 0.4558, f1: 0.4140
loss: 1.1475, acc: 0.4288, test_acc: 0.4504, f1: 0.4173
loss: 1.0750, acc: 0.4247, test_acc: 0.4576, f1: 0.4153
loss: 0.9698, acc: 0.4292, test_acc: 0.4638, f1: 0.4242
loss: 1.1834, acc: 0.4286, test_acc: 0.4370, f1: 0.3967
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 5
loss: 0.9227, acc: 0.4375, test_acc: 0.4942, f1: 0.4425
loss: 1.0255, acc: 0.4062, test_acc: 0.4602, f1: 0.4247
loss: 1.0994, acc: 0.3958, test_acc: 0.4710, f1: 0.4322
loss: 1.0532, acc: 0.4062, test_acc: 0.5290, f1: 0.4546
loss: 0.9081, acc: 0.4250, test_acc: 0.5121, f1: 0.4209
loss: 0.9503, acc: 0.4375, test_acc: 0.5246, f1: 0.4233
loss: 1.1477, acc: 0.4286, test_acc: 0.4987, f1: 0.4075
loss: 0.8979, acc: 0.4453, test_acc: 0.4996, f1: 0.4081
loss: 1.0533, acc: 0.4514, test_acc: 0.5505, f1: 0.4280
loss: 1.0844, acc: 0.4313, test_acc: 0.5916, f1: 0.4395
loss: 1.1851, acc: 0.4432, test_acc: 0.5603, f1: 0.4405
loss: 1.1815, acc: 0.4323, test_acc: 0.5228, f1: 0.4499
loss: 0.8853, acc: 0.4423, test_acc: 0.4218, f1: 0.4062
loss: 1.1160, acc: 0.4241, test_acc: 0.2869, f1: 0.2943
loss: 1.0742, acc: 0.4167, test_acc: 0.2851, f1: 0.2922
loss: 0.9549, acc: 0.4180, test_acc: 0.3065, f1: 0.3140
loss: 1.1655, acc: 0.4044, test_acc: 0.3172, f1: 0.3244
loss: 1.0346, acc: 0.4062, test_acc: 0.4593, f1: 0.4317
loss: 1.3245, acc: 0.4079, test_acc: 0.5156, f1: 0.4585
loss: 1.0580, acc: 0.4094, test_acc: 0.5809, f1: 0.4641
loss: 0.8438, acc: 0.4226, test_acc: 0.5996, f1: 0.4632
loss: 1.0323, acc: 0.4318, test_acc: 0.5987, f1: 0.4621
loss: 0.9529, acc: 0.4321, test_acc: 0.5925, f1: 0.4715
loss: 0.9910, acc: 0.4427, test_acc: 0.5639, f1: 0.4725
loss: 1.0717, acc: 0.4375, test_acc: 0.5451, f1: 0.4651
loss: 1.0693, acc: 0.4375, test_acc: 0.5541, f1: 0.4669
loss: 1.1413, acc: 0.4306, test_acc: 0.5702, f1: 0.4793
loss: 1.0922, acc: 0.4308, test_acc: 0.5719, f1: 0.4749
loss: 0.9147, acc: 0.4310, test_acc: 0.5755, f1: 0.4662
loss: 1.0669, acc: 0.4354, test_acc: 0.5996, f1: 0.4699
loss: 1.2270, acc: 0.4335, test_acc: 0.6041, f1: 0.4673
loss: 1.1866, acc: 0.4395, test_acc: 0.5773, f1: 0.4663
loss: 1.1369, acc: 0.4375, test_acc: 0.5174, f1: 0.4485
loss: 1.2308, acc: 0.4357, test_acc: 0.5130, f1: 0.4469
loss: 1.0717, acc: 0.4286, test_acc: 0.5183, f1: 0.4508
loss: 1.0529, acc: 0.4288, test_acc: 0.5013, f1: 0.4511
loss: 1.0197, acc: 0.4274, test_acc: 0.3584, f1: 0.3601
loss: 0.9716, acc: 0.4260, test_acc: 0.3155, f1: 0.3229
loss: 0.9054, acc: 0.4263, test_acc: 0.3977, f1: 0.3875
loss: 0.8844, acc: 0.4297, test_acc: 0.4325, f1: 0.4104
loss: 0.8964, acc: 0.4299, test_acc: 0.5040, f1: 0.4526
loss: 1.0015, acc: 0.4315, test_acc: 0.5567, f1: 0.4686
loss: 1.1263, acc: 0.4360, test_acc: 0.5880, f1: 0.4738
loss: 1.0201, acc: 0.4389, test_acc: 0.5979, f1: 0.4804
loss: 1.0145, acc: 0.4403, test_acc: 0.5970, f1: 0.4783
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 6
loss: 1.0461, acc: 0.6250, test_acc: 0.5308, f1: 0.4593
loss: 0.9762, acc: 0.5312, test_acc: 0.4486, f1: 0.4129
loss: 1.0587, acc: 0.4375, test_acc: 0.4397, f1: 0.4113
loss: 0.8880, acc: 0.4531, test_acc: 0.4879, f1: 0.4360
loss: 0.9091, acc: 0.4750, test_acc: 0.5165, f1: 0.4441
loss: 1.2493, acc: 0.4375, test_acc: 0.5273, f1: 0.4364
loss: 0.9321, acc: 0.4375, test_acc: 0.5121, f1: 0.4344
loss: 1.0676, acc: 0.4297, test_acc: 0.5362, f1: 0.4421
loss: 1.0513, acc: 0.4514, test_acc: 0.5702, f1: 0.4703
loss: 1.0021, acc: 0.4500, test_acc: 0.5550, f1: 0.4723
loss: 1.2647, acc: 0.4375, test_acc: 0.4870, f1: 0.4388
loss: 0.9717, acc: 0.4479, test_acc: 0.4173, f1: 0.3954
loss: 1.2544, acc: 0.4231, test_acc: 0.3235, f1: 0.3237
loss: 1.1422, acc: 0.4062, test_acc: 0.3101, f1: 0.3132
loss: 1.0019, acc: 0.4083, test_acc: 0.4397, f1: 0.4089
loss: 1.0585, acc: 0.4102, test_acc: 0.4584, f1: 0.4193
loss: 1.1989, acc: 0.4007, test_acc: 0.4718, f1: 0.4295
loss: 1.1919, acc: 0.3924, test_acc: 0.4710, f1: 0.4172
loss: 0.8692, acc: 0.4046, test_acc: 0.4817, f1: 0.4160
